Spanish Word,ira,anticipacion,disgusto,miedo,alegria,negativo,positivo,tristeza,sorpresa,confianza
a bordo,0,0,0,0,0,0,0,0,0,0
a ciegas,0,0,0,0,0,1,0,1,0,0
a cuadros,0,0,0,0,0,0,0,0,0,0
a distancia,0,0,0,0,0,1,0,0,0,0
a granel,0,0,0,0,0,0,0,0,0,0
a hurtadillas,0,0,0,0,0,0,0,0,1,0
a la deriva,0,1,0,1,0,1,0,1,0,0
a la fuerza,1,0,0,1,0,1,0,0,0,0
a menudo,0,0,0,0,0,0,0,0,0,0
a mi,0,0,0,0,0,0,0,0,0,0
a mitad de camino,0,0,0,0,0,0,0,0,0,0
a pelo,0,0,0,0,0,0,0,0,0,0
a pesar de,0,0,0,0,0,0,0,0,0,0
a proa,0,0,0,0,0,0,0,0,0,0
a proposito,0,0,0,0,0,0,0,0,0,0
a prueba de balas,0,0,0,0,0,0,1,0,0,0
a prueba de la intemperie,0,0,0,0,0,0,1,0,0,0
a regañadientes,0,0,0,0,0,1,0,0,0,0
abaco,0,0,0,0,0,0,0,0,0,1
abad,0,0,0,0,0,0,0,0,0,1
abajo,0,0,0,0,0,1,0,1,0,0
abandonado,1,0,1,1,0,1,0,1,0,0
abandonar,0,0,0,1,0,1,0,1,0,0
abandone,0,0,0,0,0,0,0,0,0,0
abandono,1,0,0,1,0,1,0,1,1,0
abarcar,0,0,0,0,0,0,0,0,0,0
abarrotado,0,0,0,0,0,0,0,0,0,0
abarrotar,0,0,0,0,0,0,0,0,0,0
abastecedor,0,0,0,0,0,0,0,0,0,0
abastecer,0,0,0,0,0,0,1,0,0,0
abastecimiento,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0
abdomen,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0
abedul,1,0,1,1,0,1,0,0,0,0
abeja,1,0,0,1,0,0,0,0,0,0
aberracion,0,0,1,0,0,1,0,0,0,0
aberrante,0,0,0,0,0,1,0,0,0,0
abertura,0,0,0,0,0,0,0,0,0,0
abeto,0,0,0,0,0,0,1,0,0,0
abiertamente,0,0,0,0,0,0,0,0,0,0
abierto,0,0,0,1,0,0,0,0,0,0
abigarrado,0,0,0,0,0,0,0,0,0,0
abismal,0,0,0,0,0,1,0,1,0,0
abismo,0,0,0,1,0,1,0,1,0,0
ablacion,0,0,0,0,0,0,0,0,0,0
abogacia,1,1,0,0,1,0,1,0,0,1
abogado,1,0,0,1,0,0,1,0,0,1
abolicion,0,0,0,0,0,1,0,0,0,0
abolir,1,0,0,0,0,1,0,0,0,0
abollado,0,0,0,1,0,1,0,1,0,0
abominable,0,0,1,1,0,1,0,0,0,0
abominacion,1,0,1,1,0,1,0,0,0,0
abonar,0,0,0,0,0,0,0,0,0,0
abordar,1,0,0,0,0,0,0,0,1,0
aborigen,0,0,0,0,0,0,0,0,0,0
aborrecer,1,0,1,1,0,1,0,0,0,0
aborrecible,1,0,1,1,0,1,0,0,0,0
abortar,0,0,0,0,0,1,0,0,0,0
abortivo,0,0,0,0,0,1,0,1,0,0
aborto,0,0,1,1,0,1,0,1,0,0
aborto espontaneo,0,0,0,1,0,1,0,1,0,0
abovedado,0,0,0,0,0,0,0,0,0,0
abrasador,1,0,0,0,0,1,0,0,0,0
abrasion,0,0,0,0,0,1,0,0,0,0
abrazadera,0,0,0,0,0,0,0,0,0,0
abrazar,0,1,0,0,1,0,1,0,1,1
abrazo,0,0,0,0,1,0,1,0,0,1
abrelatas,0,0,0,0,0,0,0,0,0,0
abreviar,0,0,0,0,0,0,0,0,0,0
abreviatura,0,0,0,0,0,0,0,0,0,0
abrochado,0,0,0,0,0,0,0,0,0,0
abrogar,0,0,0,0,0,1,0,0,0,0
abrumada,0,0,0,0,0,1,0,1,0,0
abrumador,1,0,0,1,0,1,0,0,0,0
abrumar,0,0,0,0,0,1,0,0,0,0
abruptamente,0,0,0,0,0,0,0,0,0,0
abrupto,0,0,0,0,0,0,0,0,1,0
absceso,0,0,0,0,0,1,0,1,0,0
absentismo,0,0,0,0,0,1,0,0,0,0
absolucion,0,0,0,0,1,0,1,0,0,1
absolutamente,0,0,0,0,0,0,0,0,0,0
absoluto,0,0,0,0,0,0,1,0,0,0
absorbente,0,0,0,0,0,0,0,0,0,0
absorbido,0,0,0,0,0,0,1,0,0,0
absorcion,0,0,0,0,0,0,0,0,0,0
absorto,0,0,0,0,0,0,0,0,0,0
